Vocabulary;Lesson;Pronunciation;EnglishDef;PersianDef;Examples
Abandon;1;[a·ban·don || ə'bændən];"desert; leave without planning to come back; quit";ترک کردن ، ترک کردن بدون قصد بازگشت ، دست کشیدن از;"a. When Roy abandoned his family, the police went looking for him.

b. The soldier could not abandon his friends who were hurt in battle.

c. Because Rose was poor, she had to abandon her idea of going to college."
Keen;1;[kɪːn];"sharp; eager; intense; sensitive";تیز ، مشتاق ، شدید ، حساس;"a. The butcher's keen knife cut through the meat.

b. My dog has a keen sense of smell.

c. Bill's keen mind pleased all his teachers."
Jealous;1;[jeal·ous || 'dʒeləs];"afraid that the one you love might prefer someone else; wanting what someone else has";هراسان از اینکه شخصی را که دوست دارید ممکن است دیگری را ترجیح دهد ، خواستن آنچه شخص دیگری دارد ، حسود;"a. A detective was hired by the jealous widow to find the boyfriend who had abandoned her.

b. Although my neighbor just bought a new car, I am not jealous of him.

c. Being jealous, Mona would not let her boyfriend dance with any of the cheerleaders."
Tact;1;[tækt];ability to say the right thing;توانایی گفتن سخن مناسب ، تدبیر ، کیاست;"a. My aunt never hurts anyone's feelings because she always uses tact.

b. By the use of tact, Janet was able to calm her jealous husband.

c. Your friends will admire you if you use tact and thoughtfulness."
Oath;1;"[əʊθ; pl.əʊðz]";"a promise that something is true; a curse";سوگند به اینکه چیزی درست است ، دشنام ، سوگند;"a. The President will take the oath of office tomorrow.

b. In court, the witness took an oath that he would tell the whole truth.

c. When Terry discovered that he had been abandoned, he let out an angry oath."
Vacant;1;['va·cant || 'veɪkənt];"empty; not filled";خالی ، پر نشده;"a. Someone is planning to build a house on that vacant lot.

b. I put my coat on that vacant seat.

c. When the landlord broke in, he found that apartment vacant."
Hardship;1;[hard·ship || 'hɑrdʃɪp /'hɑː-];"something that is hard to bear; difficulty";سختی ، دشواری;"a. The fighter had to face many hardships before he became champion.

b. Abe Lincoln was able to overcome one hardship after another.

c. On account of hardship, Bert was let out of the army to take care of his sick mother."
Gallant;1;[gal·lant || gə'lɑnt /'gælənt ,gə'lænt];"brave; showing respect for women";شجاع ، کسی که برای خانم ها احترام نشان می دهد ، زن نواز;"a. The pilot swore a gallant oath to save his buddy.

b. Many gallant knights entered the contest to win the princess.

c. Ed is so gallant that he always gives up his subway seat to a woman."
Data;1;[da·ta || 'deɪtə];"facts; information";حقایق ، اطلاعات;"a. The data about the bank robbery were given to the F.B.I.

b. After studying the data, we were able to finish our report.

c. Unless you are given all the data, you cannot do the math problem."
Unaccustomed;1;[ˌənəˈkəstəmd];not used to something;به چیزی عادت نداشتن ، نامانوس;"a. Coming from Alaska, Claude was unaccustomed to Florida's heat.

b. The king was unaccustomed to having people disobey him.

c. Unaccustomed as he was to exercise, Vic quickly became tired."
