Id;VocabularyId;Ordinal;English
1;1;1;When Roy abandoned his family, the police went looking for him.
2;1;2;The soldier could not abandon his friends who were hurt in battle.
3;1;3;Because Rose was poor, she had to abandon her idea of going to college.
4;2;1;The butcher's keen knife cut through the meat.
5;2;2;My dog has a keen sense of smell.
6;2;3;Bill's keen mind pleased all his teachers.
7;3;1;A detective was hired by the jealous widow to find the boyfriend who had abandoned her.
8;3;2;Although my neighbor just bought a new car, I am not jealous of him.
9;3;3;Being jealous, Mona would not let her boyfriend dance with any of the cheerleaders.
10;4;1;My aunt never hurts anyone's feelings because she always uses tact.
11;4;2;By the use of tact, Janet was able to calm her jealous husband.
12;4;3;Your friends will admire you if you use tact and thoughtfulness.
13;5;1;The President will take the oath of office tomorrow.
14;5;2;In court, the witness took an oath that he would tell the whole truth.
15;5;3;When Terry discovered that he had been abandoned, he let out an angry oath.
16;6;1;Someone is planning to build a house on that vacant lot.
17;6;2;I put my coat on that vacant seat.
18;6;3;When the landlord broke in, he found that apartment vacant.
19;7;1;The fighter had to face many hardships before he became champion.
20;7;2;Abe Lincoln was able to overcome one hardship after another.
21;7;3;On account of hardship, Bert was let out of the army to take care of his sick mother.
22;8;1;The pilot swore a gallant oath to save his buddy.
23;8;2;Many gallant knights entered the contest to win the princess.
24;8;3;Ed is so gallant that he always gives up his subway seat to a woman.
25;9;1;The data about the bank robbery were given to the F.B.I.
26;9;2;After studying the data, we were able to finish our report.
27;9;3;Unless you are given all the data, you cannot do the math problem.
28;10;1;Coming from Alaska, Claude was unaccustomed to Florida's heat.
29;10;2;The king was unaccustomed to having people disobey him.
30;10;3;Unaccustomed as he was to exercise, Vic quickly became tired.
31;11;1;My brother took an oath to remain a bachelor.
32;11;2;In the movie, the married man was mistaken for a bachelor.
33;11;3;Before the wedding, all his bachelor friends had a party.
34;12;1;I am trying to qualify for the job which is now vacant.
35;12;2;Since Pauline can't carry a tune, she is sure that she will never qualify for the Girls' Chorus.
36;12;3;"You have to be over 5'5"" to qualify as a policeman in our town."
37;13;1;When given all the data on the corpse, Columbo was able to solve the murder.
38;13;2;The corpse was laid to rest in the vacant coffin.
39;13;3;An oath of revenge was sworn over the corpse by his relatives.
40;14;1;Tris could not conceal his love for Gloria.
41;14;2;Count Dracula concealed the corpse in his castle.
42;14;3;The money was so cleverly concealed that we were forced to abandon our search for it.
43;15;1;When the weather is so dismal, I sometimes stay in bed all lesson.
44;15;2;I am unaccustomed to this dismal climate.
45;15;3;As the dismal reports of the election came in, the senator's friends tactfully made no mention of them.
46;16;1;It was a great hardship for the men to live through the frigid winter at Valley Forge.
47;16;2;The jealous bachelor was treated in a frigid manner by his girlfriend
48;16;3;Inside the butcher's freezer the temperature was frigid.
49;17;1;Eskimos inhabit the frigid part of Alaska.
50;17;2;Because Sidney qualified, he was allowed to inhabit the vacant apartment.
51;17;3;Many crimes are committed each year against those who inhabit the slum area of our city.
52;18;1;My fingers quickly became numb in the frigid room.
53;18;2;A numb feeling came over Mr. Massey as he read the telegram.
54;18;3;When the nurse stuck a pin in my numb leg, I felt nothing.
55;19;1;The hunter was abandoned by the natives when he described the peril which lay ahead of them.
56;19;2;There is great peril in trying to climb the mountain.
57;19;3;Our library is filled with stories of perilous adventures.
58;20;1;Richard likes to recline in front of the television set.
59;20;2;After reclining on her right arm for an hour, Maxine found that it had become numb.
60;20;3;My dog's greatest pleasure is to recline by the warm fireplace.
61;21;1;The maid shrieked when she discovered the corpse.
62;21;2;With a loud shriek, Ronald fled from the room.
63;21;3;Facing the peril of the waterfall, the boatman let out a terrible shriek.
64;22;1;The sinister plot to cheat the widow was uncovered by the police.
