Id;Lesson;Vocabulary;Pronunciation;EnglishDef;PersianDef;Learned;Bookmarked
1;1;Abandon;[a·ban·don || ə'bændən];"desert; leave without planning to come back; quit";ترک کردن ، ترک کردن بدون قصد بازگشت ، دست کشیدن از;0;0
2;1;Keen;[kɪːn];"sharp; eager; intense; sensitive";تیز ، مشتاق ، شدید ، حساس;0;0
3;1;Jealous;[jeal·ous || 'dʒeləs];"afraid that the one you love might prefer someone else; wanting what someone else has";هراسان از اینکه شخصی را که دوست دارید ممکن است دیگری را ترجیح دهد ، خواستن آنچه شخص دیگری دارد ، حسود;0;0
4;1;Tact;[tækt];ability to say the right thing;توانایی گفتن سخن مناسب ، تدبیر ، کیاست;0;0
5;1;Oath;"[əʊθ; pl.əʊðz]";"a promise that something is true; a curse";سوگند به اینکه چیزی درست است ، دشنام ، سوگند;0;0
6;1;Vacant;['va·cant || 'veɪkənt];"empty; not filled";خالی ، پر نشده;0;0
7;1;Hardship;[hard·ship || 'hɑrdʃɪp /'hɑː-];"something that is hard to bear; difficulty";سختی ، دشواری;0;0
8;1;Gallant;[gal·lant || gə'lɑnt /'gælənt ,gə'lænt];"brave; showing respect for women";شجاع ، کسی که برای خانم ها احترام نشان می دهد ، زن نواز;0;0
9;1;Data;[da·ta || 'deɪtə];"facts; information";حقایق ، اطلاعات;0;0
10;1;Unaccustomed;[ˌənəˈkəstəmd];not used to something;به چیزی عادت نداشتن ، نامانوس;0;0
11;1;Bachelor;[bach·e·lor || 'bætʃələ];a man who has not married;مردی که ازدواج نکرده است ، مجرد;0;0
12;1;Qualify;[qual·i·fy || 'kwɑlɪfaɪ /'kwɒ-];"become fit; show that you are able";صلاحیت داشتن ، واجد شرایط بودن;0;0
13;2;Corpse;[kɔːps];a dead body, usually of a person;جسد ، معمولاً مربوط به شخص;0;0
14;2;Conceal;[con·ceal || kən'siːl];hide;پنهان کردن;0;0
15;2;Dismal;[dis·mal || 'dɪzməl];dark and depressing;تاریک و دلگیر;0;0
16;2;Frigid;[frig·id || 'frɪdʒɪd];very cold;خیلی سرد;0;0
17;2;Inhabit;[in·hab·it || ɪn'hæbɪt];live in;اقامت داشتن در;0;0
18;2;Numb;[nʌm];"without the power of feeling; deadened";بدون قدرت احساس ، کرخت;0;0
19;2;Peril;[per·il || 'perəl];danger;خطر;0;0
20;2;Recline;[re·cline || rɪ'klaɪn];"lie down; stretch out; lean back";خوابیدن ، دراز کشیدن ، لم دادن;0;0
21;2;Shriek;[ʃrɪːk];scream;جیغ زدن ، جیغ;0;0
22;2;Sinister;[sin·is·ter || 'sɪnɪstə(r)];"evil; wicked; dishonest; frightening";پلید ، پست ، متقلب ، وحشتناک;0;0
23;2;Tempt;[tempt];"try to get someone to do something; test; invite";تلاش به وادار کردن کسی به انجام کاری ، امتحان کردن ، دعوت کردن ، وسوسه کردن;0;0
24;2;Wager;[wa·ger || 'weɪdʒə(r)];bet;شرط;0;0
25;3;Typical;[typ·i·cal || 'tɪpɪkl];"usual; of a kind";معمولی;0;0
26;3;Minimum;['min·i·mum || 'mɪnɪməm];"the least possible amount; the lowest amount";کمترین مقدار ممکن ، پایین ترین مقدار;0;0
27;3;Scarce;[skers /skeəs];"hard to get; rare";کمیاب ، نادر;0;0
28;3;Annual;[an·nu·al || 'ænjʊəl];"once a year; something that appears yearly or lasts for a year";سالی یکبار ، چیزی که هر ساله پدیدار می شود یا به مدت یک سال طول می کشد ، سالانه;0;0
29;3;Persuade;[per·suade || pər'sweɪd /pə's-];"win over to do or believe; make willing";متقاعد کردن ، راضی کردن;0;0
30;3;Essential;"[es·sen·tial || ɪ'senʃl]";"necessary; very important";ضروری ، بسیار مهم;0;0
31;3;Blend;[blend];"mix together thoroughly; a mixture";کاملاً با هم ترکیب کردن ، مخلوط;0;0
32;3;Visible;[vis·i·ble || 'vɪzəbl];able to be seen;قابل رویت;0;0
33;3;Expensive;[ex'pen·sive || -sɪv];"costly; high-priced";گران ، پرهزینه;0;0
34;3;Talent;[tal·ent || 'tælənt];natural ability;توانایی ذاتی;0;0
35;3;Devise;[de·vise || dɪ'vaɪz];"think out; plan; invent";ابداع کردن ، برنامه ریزی کردن ، اختراع کردن;0;0
36;3;Wholesale;[ˈhōlˌsāl];"in large quantity; less than retail in price";به میزان گسترده ، کمتر از قیمت خرده فروشی ، عمده فروشی;0;0
37;4;Vapor;[ˈvāpər];"moisture in the air that can be seen; fog; mist";بخار هوا که می توان آن را دید ، مه ، غبار;0;0
38;4;Eliminate;[e·lim·i·nate || ɪ'lɪmɪneɪt];"get rid of; remove; omit";رها شدن از ، برداشتن ، حذف کردن;0;0
39;4;Villain;"[vil·lain || 'vɪlən]";a very wicked person;آدم بسیار بد جنس و پست;0;0
40;4;Dense;[dens];"closely packed together; thick";متراکم ، غلیظ;0;0
41;4;Utilize;"[u·ti·lize || 'juːtlaɪ /-tɪl-]";make use of;استفاده کردن از;0;0
42;4;Humid;[hu·mid || 'hjuːmɪd];"moist; damp";مرطوب ، نمناک;0;0
43;4;Theory;[the·o·ry || 'θɪːrɪ /'θɪərɪ];explanation based on thought, observation, or reasoning;توضیح بر اساس اندیشه ، مشاهده یا استدلال ، نظریه ، فرضیه;0;0
44;4;Descend;[de·scend || dɪ'send];go or come down from a higher place to a lower level;پایین رفتن یا پایین آمدن از مکانی بالاتر به سطحی پایین تر;0;0
45;4;Circulate;[cir·cu·late || 'sɜːkjʊleɪt];"go around; go from place to place or person to person";پخش شدن ، از مکانی به مکانی یا از شخصی به شخصی رفتن;0;0
46;4;Enormous;[e'nor·mous || -məs];"extremely large; huge";بی نهایت بزرگ ، عظیم;0;0
47;4;Predict;[pre·dict || prɪ'dɪkt];tell beforehand;از پیش گفتن ، پیش گویی کردن;0;0
48;4;Vanish;[van·ish || 'vænɪʃ];"disappear; disappear suddenly";محو شدن ، ناگهان ناپدید شدن;0;0
49;5;Tradition;[tra·di·tion || trə'dɪʃn];beliefs, opinions, and customs handed down from one generation to another;باور ها ، اعتقادات و رسومی که از نسلی به نسل دیگر منتقل می شود;0;0
